rank,title,first_author,citation_count,github_stars,arxiv_abs_url,arxiv_pdf_url,github_repo,icml_page_url,openreview_url,author_post_url,tag_handles
1,$\tau^2$-Bench: Evaluating Conversational Agents in a Dual-Control Environment,Victor Barres,275,1436,https://arxiv.org/abs/2506.07982,https://arxiv.org/pdf/2506.07982,https://github.com/sierra-research/tau2-bench,https://icml.cc/virtual/2026/poster/64377,https://openreview.net/forum?id=OC2z7iSQKa,https://x.com/SierraPlatform/status/1932464265207889974,SierraPlatform
2,RoboTwin 2.0: A Scalable Data Generator and Benchmark with Strong Domain Randomization for Robust Bimanual Robotic Manipulation,Tianxing Chen,270,2489,https://arxiv.org/abs/2506.18088,https://arxiv.org/pdf/2506.18088,https://github.com/RoboTwin-Platform/RoboTwin,https://icml.cc/virtual/2026/poster/62192,https://openreview.net/forum?id=itonej9GIV,,
3,Spurious Rewards: Rethinking Training Signals in RLVR,Rulin Shao,184,358,https://arxiv.org/abs/2506.10947,https://arxiv.org/pdf/2506.10947,https://github.com/ruixin31/Spurious_Rewards,https://icml.cc/virtual/2026/poster/61082,https://openreview.net/forum?id=tqTNOpkP5j,https://x.com/StellaLisy/status/1927392717593526780,StellaLisy
4,WISE: World Knowledge-Informed Semantic Evaluation for Text-to-Image Generation,Yuwei Niu,173,208,https://arxiv.org/abs/2503.07265,https://arxiv.org/pdf/2503.07265,https://github.com/PKU-YuanGroup/WISE,https://icml.cc/virtual/2026/poster/62614,https://openreview.net/forum?id=f1q8dFnxtY,,
5,Self-Distilled Reasoner: On-Policy Self-Distillation for Large Language Models,Siyan Zhao,151,,https://arxiv.org/abs/2601.18734,https://arxiv.org/pdf/2601.18734,,https://icml.cc/virtual/2026/poster/64784,https://openreview.net/forum?id=Jpxfof0EaS,https://x.com/siyan_zhao/status/2014372747862999382,siyan_zhao
6,Chain-of-Thought Reasoning In The Wild Is Not Always Faithful,Iván Arcuschin,143,,https://arxiv.org/abs/2503.08679,https://arxiv.org/pdf/2503.08679,,https://icml.cc/virtual/2026/poster/64450,https://openreview.net/forum?id=NUyt4uxzx0,https://x.com/ArthurConmy/status/1874920611354718438,IvanArcus ArthurConmy NeelNanda5
7,dLLM-Cache: Accelerating Diffusion Large Language Models with Adaptive Caching,Zhiyuan Liu,141,207,https://arxiv.org/abs/2506.06295,https://arxiv.org/pdf/2506.06295,https://github.com/maomaocun/dLLM-cache,https://icml.cc/virtual/2026/poster/62405,https://openreview.net/forum?id=guLrgDb2jB,,
8,Reinforcement Learning via Self-Distillation,Jonas Hübotter,140,,https://arxiv.org/abs/2601.20802,https://arxiv.org/pdf/2601.20802,,https://icml.cc/virtual/2026/poster/64121,https://openreview.net/forum?id=QkfkxyRizZ,,
9,SWE-Bench Pro: Can AI Agents Solve Long-Horizon Software Engineering Tasks?,Xiang Deng,120,453,https://arxiv.org/abs/2509.16941,https://arxiv.org/pdf/2509.16941,https://github.com/scaleapi/SWE-bench_Pro-os,https://icml.cc/virtual/2026/poster/61047,https://openreview.net/forum?id=uEVTdoAbnK,https://x.com/vbingliu/status/1969460781495566611,vbingliu scale_AI
10,Self-Distillation Enables Continual Learning,Idan Shenfeld,102,632,https://arxiv.org/abs/2601.19897,https://arxiv.org/pdf/2601.19897,https://github.com/idanshen/Self-Distillation,https://icml.cc/virtual/2026/poster/61434,https://openreview.net/forum?id=qA6FgH0nnZ,https://x.com/IdanShenfeld/status/2016818116441850172,IdanShenfeld
11,"Reinforcement Learning with Verifiable Rewards: GRPO's Loss, Dynamics, and Success Amplification",Youssef Mroueh,100,,https://arxiv.org/abs/2503.06639,https://arxiv.org/pdf/2503.06639,,https://icml.cc/virtual/2026/poster/60548,https://openreview.net/forum?id=z9Bo4eXSpW,,
