rank,github_stars,title,presentation_type,decision,first_author,authors,arxiv_id,arxiv_abs_url,arxiv_pdf_url,github_repo,icml_page_url,openreview_url
1,1141,WorldMirror: Universal 3D World Reconstruction with Any-Prior Prompting,Poster,Accept (regular),Yifan Liu,"Yifan Liu, Zhiyuan Min, Zhenwei Wang, Junta Wu, Tengfei Wang, Yixuan Yuan, Yawei Luo, Chunchao Guo",,,,https://github.com/Tencent-Hunyuan/HunyuanWorld-Mirror,https://icml.cc/virtual/2026/poster/65052,https://openreview.net/forum?id=HFNJOpXHfm
2,1004,Latent Collaboration in Multi-Agent Systems,Poster,Accept (spotlight),Jiaru Zou,"Jiaru Zou, Xiyuan Yang, Ruizhong Qiu, Gaotang Li, Katherine Tieu, Pan Lu, Ke Shen, Hanghang Tong, Yejin Choi, Jingrui He, James Zou, Mengdi Wang, Ling Yang",2511.20639,https://arxiv.org/abs/2511.20639,https://arxiv.org/pdf/2511.20639,https://github.com/Gen-Verse/LatentMAS,https://icml.cc/virtual/2026/poster/61180,https://openreview.net/forum?id=syG9I9ofd8
3,755,FG-CLIP 2: A Bilingual Fine-grained Vision-Language Alignment Model,Poster,Accept (regular),Chunyu Xie,"Chunyu Xie, Bin Wang, Fanjing Kong, Jincheng Li, Dawei Liang, Ji Ao, Dawei Leng, Yuhui Yin",2510.10921,https://arxiv.org/abs/2510.10921,https://arxiv.org/pdf/2510.10921,https://github.com/360CVGroup/FG-CLIP,https://icml.cc/virtual/2026/poster/65426,https://openreview.net/forum?id=Dl8vXnJJQi
4,649,Vision-DeepResearch: Incentivizing DeepResearch Capability in Multimodal Large Language Models,Poster,Accept (regular),Wenxuan Huang,"Wenxuan Huang, Yu Zeng, Qiuchen Wang, Zhen Fang, Shaosheng Cao, Zheng Chu, Qingyu Yin, Shuang Chen, Zhenfei Yin, Lin Chen, Zehui Chen, Yao Hu, Phil Torr, Feng Zhao, Wanli Ouyang",2601.22060,https://arxiv.org/abs/2601.22060,https://arxiv.org/pdf/2601.22060,https://github.com/Osilly/Vision-DeepResearch,https://icml.cc/virtual/2026/poster/66607,https://openreview.net/forum?id=2Cgy0P2v8s
5,620,SINQ: Sinkhorn-Normalized Quantization for Calibration-Free Low-Precision LLM Weights,Poster,Accept (regular),Lorenz K. Muller,"Lorenz K. Muller, Philippe Bich, Jiawei Zhuang, Ahmet Çelik, Luca Benfenati, Lukas Cavigelli",2509.22944,https://arxiv.org/abs/2509.22944,https://arxiv.org/pdf/2509.22944,https://github.com/huawei-csl/SINQ,https://icml.cc/virtual/2026/poster/63404,https://openreview.net/forum?id=XQjgmQ8P1n
6,616,Neural Thickets: Diverse Task Experts Are Dense Around Pretrained Weights,Poster,Accept (spotlight),Yulu Gan,"Yulu Gan, Phillip Isola",2603.12228,https://arxiv.org/abs/2603.12228,https://arxiv.org/pdf/2603.12228,https://github.com/sunrainyg/RandOpt,https://icml.cc/virtual/2026/poster/65901,https://openreview.net/forum?id=92oF5bU4cU
7,570,Graph-R1: Towards Agentic GraphRAG Framework via End-to-end Reinforcement Learning,Poster,Accept (regular),Haoran Luo,"Haoran Luo, Haihong E, Guanting Chen, Qika Lin, Yikai Guo, Fangzhi Xu, Zemin Kuang, Meina Song, Xiaobao Wu, Yifan Zhu, Anh Tuan Luu",2507.21892,https://arxiv.org/abs/2507.21892,https://arxiv.org/pdf/2507.21892,https://github.com/LHRLAB/Graph-R1,https://icml.cc/virtual/2026/poster/63269,https://openreview.net/forum?id=YXnFGsSkCC
8,558,"RLAnything: Forge Environment, Policy, and Reward Model in Completely Dynamic RL System",Poster,Accept (regular),Yinjie Wang,"Yinjie Wang, Tianbao Xie, Ke Shen, Mengdi Wang, Ling Yang",2602.02488,https://arxiv.org/abs/2602.02488,https://arxiv.org/pdf/2602.02488,https://github.com/Gen-Verse/Open-AgentRL,https://icml.cc/virtual/2026/poster/64832,https://openreview.net/forum?id=JLQV6NxS6W
9,472,SceneSmith: Agentic Generation of Simulation-Ready Indoor Scenes,Poster,Accept (spotlight),Nicholas Pfaff,"Nicholas Pfaff, Thomas Cohn, Sergey Zakharov, Rick Cory, Russ Tedrake",2602.09153,https://arxiv.org/abs/2602.09153,https://arxiv.org/pdf/2602.09153,https://github.com/nepfaff/scenesmith,https://icml.cc/virtual/2026/poster/63465,https://openreview.net/forum?id=WwS8CTpUA6
10,395,MUSE: Resolving Manifold Misalignment in Visual Tokenization via Topological Orthogonality,Poster,Accept (regular),Panqi Yang,"Panqi Yang, Haodong Jing, Jiahao Chao, Tingyan Xiang, Li Lin, Yao Hu, Yang Luo, Yongqiang Ma",,,,https://github.com/PanqiYang1/MUSE,https://icml.cc/virtual/2026/poster/62597,https://openreview.net/forum?id=fCjkHj6Z4V
